path	size_bytes	compressed_bytes
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Size6/Regular/Main.js	2430	1088
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Size7/Regular/Main.js	10573	2825
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Symbols/Regular/Main.js	2504	1099
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Variants/Regular/Main.js	1322	683
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/fontdata-extra.js	11610	2628
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/fontdata.js	13905	3744
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/Alphabets/Regular/Main.js	1120	627
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/Arrows/Regular/Main.js	1204	667
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/Fraktur/Regular/Main.js	4014	1867
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/Main/Regular/Main.js	9042	3697
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/Marks/Regular/Main.js	1678	882
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/NonUnicode/Regular/Main.js	30551	11592
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/Normal/Regular/Main.js	4378	1947
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/Operators/Regular/Main.js	2127	1027
assets/MathJax/jax/output/HTML-CSS/fonts/Neo-Euler/Script/Regular/Main.js	2575	1287
